time,temp
2011-04-01 24:00:00,    7.392259
2011-04-02 24:00:00,    7.436442
2011-04-03 24:00:00,    7.611021
2011-04-04 24:00:00,    7.939332
2011-04-05 24:00:00,    7.475661
2011-04-06 24:00:00,    7.391845
2011-04-07 24:00:00,    7.323250
2011-04-08 24:00:00,    7.661976
2011-04-09 24:00:00,    8.009109
2011-04-10 24:00:00,    8.797630
2011-04-11 24:00:00,    9.484829
2011-04-12 24:00:00,    9.632066
2011-04-13 24:00:00,    9.567728
2011-04-14 24:00:00,    9.522293
2011-04-15 24:00:00,    8.788639
2011-04-16 24:00:00,    7.869440
2011-04-17 24:00:00,    6.851358
2011-04-18 24:00:00,    6.235906
2011-04-19 24:00:00,    6.119731
2011-04-20 24:00:00,    5.893394
2011-04-21 24:00:00,    5.840677
2011-04-22 24:00:00,    6.011929
2011-04-23 24:00:00,    6.148175
2011-04-24 24:00:00,    6.515295
2011-04-25 24:00:00,    6.767635
2011-04-26 24:00:00,    7.365299
2011-04-27 24:00:00,    7.576476
2011-04-28 24:00:00,    7.759978
2011-04-29 24:00:00,    7.653125
2011-04-30 24:00:00,    8.068033
2011-05-01 24:00:00,    8.009886
2011-05-02 24:00:00,    7.643433
2011-05-03 24:00:00,    7.317218
2011-05-04 24:00:00,    7.425446
2011-05-05 24:00:00,    7.813600
2011-05-06 24:00:00,    8.191414
2011-05-07 24:00:00,    8.316254
2011-05-08 24:00:00,    8.861640
2011-05-09 24:00:00,    9.634099
2011-05-10 24:00:00,   10.122489
2011-05-11 24:00:00,   11.052528
2011-05-12 24:00:00,   11.575516
2011-05-13 24:00:00,   11.632566
2011-05-14 24:00:00,   11.995572
2011-05-15 24:00:00,   12.287783
2011-05-16 24:00:00,   11.833261
2011-05-17 24:00:00,   11.468455
2011-05-18 24:00:00,   11.564389
2011-05-19 24:00:00,   11.758845
2011-05-20 24:00:00,   11.759062
2011-05-21 24:00:00,   11.760237
2011-05-22 24:00:00,   11.769371
2011-05-23 24:00:00,   11.782218
2011-05-24 24:00:00,   11.792324
2011-05-25 24:00:00,   11.802464
2011-05-26 24:00:00,   11.828383
2011-05-27 24:00:00,   11.856082
2011-05-28 24:00:00,   11.889752
2011-05-29 24:00:00,   11.939738
2011-05-30 24:00:00,   11.982459
2011-05-31 24:00:00,   12.044564
2011-06-01 24:00:00,   12.229553
2011-06-02 24:00:00,   12.448911
2011-06-03 24:00:00,   12.558212
2011-06-04 24:00:00,   13.079248
2011-06-05 24:00:00,   13.310593
2011-06-06 24:00:00,   13.390565
2011-06-07 24:00:00,   13.494019
2011-06-08 24:00:00,   13.735226
2011-06-09 24:00:00,   14.014411
2011-06-10 24:00:00,   14.136258
2011-06-11 24:00:00,   14.196997
2011-06-12 24:00:00,   14.239416
2011-06-13 24:00:00,   14.268392
2011-06-14 24:00:00,   14.330456
2011-06-15 24:00:00,   14.548882
2011-06-16 24:00:00,   14.662234
2011-06-17 24:00:00,   14.685586
2011-06-18 24:00:00,   14.712758
2011-06-19 24:00:00,   14.745064
2011-06-20 24:00:00,   14.782191
2011-06-21 24:00:00,   14.871413
2011-06-22 24:00:00,   15.016278
2011-06-23 24:00:00,   15.078147
2011-06-24 24:00:00,   15.140407
2011-06-25 24:00:00,   15.205424
2011-06-26 24:00:00,   15.242529
2011-06-27 24:00:00,   15.302698
2011-06-28 24:00:00,   15.408018
2011-06-29 24:00:00,   15.471902
2011-06-30 24:00:00,   15.515376
2011-07-01 24:00:00,   15.602105
2011-07-02 24:00:00,   15.661004
2011-07-03 24:00:00,   15.698682
2011-07-04 24:00:00,   15.719448
2011-07-05 24:00:00,   15.740441
2011-07-06 24:00:00,   15.759202
2011-07-07 24:00:00,   15.770262
2011-07-08 24:00:00,   15.782262
2011-07-09 24:00:00,   15.805985
2011-07-10 24:00:00,   15.842366
2011-07-11 24:00:00,   15.871453
2011-07-12 24:00:00,   15.904899
2011-07-13 24:00:00,   15.928807
2011-07-14 24:00:00,   15.941497
2011-07-15 24:00:00,   15.966599
2011-07-16 24:00:00,   16.003173
2011-07-17 24:00:00,   16.021274
2011-07-18 24:00:00,   16.030436
2011-07-19 24:00:00,   16.036528
2011-07-20 24:00:00,   16.055738
2011-07-21 24:00:00,   16.107982
2011-07-22 24:00:00,   16.134346
2011-07-23 24:00:00,   16.147800
2011-07-24 24:00:00,   16.162466
